AgentName,Purpose,Reads,Writes,"Owner 
Function",Status,Unnamed: 6,Agent Name,AR Collector Agent,LD Sentinel Agent,Closeout Orchestrator
AR Collector Agent,"See meta_prompts.md for detailed goals, evaluation gates, and HITL conditions.","AR_OPEN_BALANCE, AR_BUCKET_0_30, AR_BUCKET_31_60, AR_BUCKET_61_90, AR_BUCKET_90_PLUS, EXPECTED_COLLECTION_DATE, COLLECTION_RISK_SCORE","EXPECTED_COLLECTION_DATE, COLLECTION_RISK_SCORE",auto,draft_v1.1,,Context,Purpose: Improve short-term cash by prioritising and structuring collection efforts.,Purpose: Contain and visualize LD exposure before it becomes critical.,Purpose: Achieve on-time and complete handover of deliverables and O&M documentation.
AP Scheduler Agent,"See meta_prompts.md for detailed goals, evaluation gates, and HITL conditions.","AP_OPEN_BALANCE, AP_BUCKET_0_30, AP_BUCKET_31_60, AP_BUCKET_61_90, AP_BUCKET_90_PLUS, CASH_FLOW_FORECAST_30D, CASH_FLOW_FORECAST_60D, CASH_FLOW_FORECAST_90D",,auto,draft_v1.1,,,"Reads:
 AR_OPEN_BALANCE, AR_BUCKET_0_30, AR_BUCKET_31_60, AR_BUCKET_61_90, AR_BUCKET_90_PLUS, EXPECTED_COLLECTION_DATE, COLLECTION_RISK_SCORE","Reads:
 LD_APPLICABLE, LD_BASIS, LD_RATE_VALUE, LD_CAP_PERCENT_CONTRACT_VALUE, PROJECT_COMPLETION_DATE_PLANNED, PROJECT_COMPLETION_DATE_ACTUAL, CONTRACT_VALUE_EXCL_VAT","Reads: HANDOVER_DOCUMENTS_LIST_JSON, HANDOVER_READINESS_PERCENT, PROJECT_STATUS"
LD Sentinel Agent,"See meta_prompts.md for detailed goals, evaluation gates, and HITL conditions.","LD_APPLICABLE, LD_BASIS, LD_RATE_VALUE, LD_CAP_PERCENT_CONTRACT_VALUE, PROJECT_COMPLETION_DATE_PLANNED, PROJECT_COMPLETION_DATE_ACTUAL, CONTRACT_VALUE_EXCL_VAT",ALERT_SEVERITY,auto,draft_v1.1,,,"Writes: EXPECTED_COLLECTION_DATE, COLLECTION_RISK_SCORE","Writes: 
ALERT_SEVERITY",Writes: HANDOVER_READINESS_PERCENT
Authority Liaison Agent,"See meta_prompts.md for detailed goals, evaluation gates, and HITL conditions.","AUTHORITY_APPROVAL_MATRIX_JSON, AUTHORITY_SUBMISSIONS_OPEN, AUTHORITY_APPROVALS_PENDING",,auto,draft_v1.1,,Objectives,Reduce AR_BUCKET_61_90 and AR_BUCKET_90_PLUS by ≥15% over the next 30 days.,Keep LD_ACCRUAL_TODATE ≤ 60% of LD_MAX_CAP_VALUE.,Reach ≥95% HANDOVER_READINESS_PERCENT at least 10 calendar days before planned completion date.
DocControl Ingestor Agent,"See meta_prompts.md for detailed goals, evaluation gates, and HITL conditions.","DOC_CONTROL_PLATFORM, DELIVERABLE_REGISTER_JSON, DOC_CONTROL_OVERDUE_TRANSMITTALS",,auto,draft_v1.1,,,Surface top-10 highest risk and highest exposure accounts per project.,Provide early warning when schedule slippage would push LD beyond defined thresholds.,
QHSE Watch Agent,"See meta_prompts.md for detailed goals, evaluation gates, and HITL conditions.","QHSE_INCIDENTS_COUNT, QHSE_NONCONFORMITIES_OPEN, HSE_PLAN_REQUIRED, HSE_PLAN_APPROVED_DATE",,auto,draft_v1.1,,"Required
 Steps",1. Rehydrate AR/collection-related columns and any prior dunning strategies from knowledge base.,1. Rehydrate LD-related columns and relevant contract clauses from knowledge base.,"1. Rehydrate the list of required handover deliverables (O&M, as-builts, training) per project."
WPS Compliance Agent,"See meta_prompts.md for detailed goals, evaluation gates, and HITL conditions.","WPS_COMPLIANCE_REQUIRED, WPS_COMPLIANCE_STATUS",ALERT_SEVERITY,auto,draft_v1.1,,,"2. Segment accounts by bucket, risk score, and exposure.",2. Compute LD_MAX_CAP_VALUE and LD_ACCRUAL_TODATE per project.,"2. Map each deliverable to an owner, status, and due date."
Closeout Orchestrator,"See meta_prompts.md for detailed goals, evaluation gates, and HITL conditions.","HANDOVER_DOCUMENTS_LIST_JSON, HANDOVER_READINESS_PERCENT, PROJECT_CLOSEOUT_PACK_COMPLETED",HANDOVER_READINESS_PERCENT,auto,draft_v1.1,,,3. Propose updated EXPECTED_COLLECTION_DATE values and COLLECTION_RISK_SCORE adjustments per account.,"3. Assess potential future LD exposure under scenarios (on-time, moderate delay, severe delay).",3. Compute a weighted readiness score and update HANDOVER_READINESS_PERCENT.
Risk Synthesizer,"See meta_prompts.md for detailed goals, evaluation gates, and HITL conditions.","AR_OPEN_BALANCE, AP_OPEN_BALANCE, AUTHORITY_APPROVALS_PENDING, DELIVERY_RISK_RATING, TOP_RISKS_P90_VALUE",ALERT_SEVERITY,auto,draft_v1.1,,,4. Estimate 30/60/90 day cash impact under proposed strategy.,"4. Set ALERT_SEVERITY based on thresholds (e.g. info <30%, warning 30–60%, high 60–90%, critical >90%).",4. Identify blockers and overdue items; propose escalation paths based on DOA.
,,,,,,,,"5. Apply Evaluation Gates (especially Technical, Implementation, Value, Risk/HITL) and score the output.",5. Apply Evaluation Gates and score the analysis.,"5. Apply Evaluation Gates and scoring, ensuring clarity and implementation readiness."
,,,,,,,,"6. Run pseudo-environment simulation as ""BI_Analyst_MCE"" and ""PM_Healthcare_Project"".","6. Run pseudo-environment simulation for ""Legal_Risk_Review"" and ""PM_Healthcare_Project"".","6. Simulate usage as ""PM_Healthcare_Project"" and ""Doc_Control_Lead""."
,,,,,,,Outputs,"`AR_actions.json`: structured list of accounts with recommended actions, new expected dates, risk scores.","`ld_risk_report.json`:
per-project metrics (current and scenario-based LD exposure).",`Closeout_board.xlsx`: taskboard-style view of all closeout items.
,,,,,,,,`AR_dunning_plan.xlsx`: optional tabular version grouped by bucket and PM.,"`ld_mitigation_checklist.md`:
suggested actions (re-baseline, VO negotiation, acceleration).",Readiness_trend.json`: time series of readiness %.
,,,,,,,,Short explanation of assumptions and HITL requirements (finance sign-off).,"Explicit HITL note: 
legal review mandatory before any contractual communication.",Notes on which items require PM/Doc Control HITL confirmation.
,,,,,,,"Evaluation Gate
&
HITL",HITL required from Finance for deployment of any automated dunning/collections strategy.,HITL from Legal/Contracts to validate LD calculations and mitigation recommendations.,HITL from PMO/Doc Control to confirm status updates before they become reporting facts.
,,,,,,,,At least one iteration if Implementation or Correctness scores < 6.,Mandatory iteration if Risk/Safety or Correctness scores < 7.,"If Clarity or Implementation scores < 7, refine tables and checklists before output."
